"Date(UTC)","Market","Type","Price","Amount","Total","Fee","Fee Coin"
"2018-07-11 06:34:21","ZECETH","SELL","0.37056","0.425","0.15748800","0.00275688","BNB"
"2018-07-11 05:46:36","BNBETH","BUY","0.02844","2.98","0.08475120","0.00149","BNB"
"2018-07-11 05:23:41","XLMBNB","BUY","0.015","30.55","0.45825000","0.00022916","BNB"
"2018-07-11 05:00:26","LTCBNB","SELL","6.17","0.49606","3.06069020","0.00153034","BNB"
"2018-07-11 05:00:11","LTCBNB","SELL","6.17","0.02958","0.18250860","0.00009125","BNB"
"2018-07-11 04:35:22","LTCBNB","SELL","6.17","0.15746","0.97152820","0.00048576","BNB"
"2018-07-11 04:29:37","BNBBTC","BUY","0.001942","9.48","0.01841016","0.00474","BNB"
"2018-07-11 04:05:14","EOSBNB","BUY","0.5645","0.01","0.00564500","0.00000281","BNB"
"2018-07-11 04:04:30","EOSBNB","BUY","0.5645","5.86","3.30797000","0.00165246","BNB"
"2018-07-11 03:38:26","XLMBNB","SELL","0.01534","175.68","2.69493120","0.00134746","BNB"
"2018-07-10 23:20:29","EOSBNB","BUY","0.56","5.59","3.13040000","0.00156366","BNB"
"2018-07-10 21:15:02","EOSBNB","SELL","0.586","5.86","3.43396000","0.00171698","BNB"
"2018-07-10 20:12:22","LTCBNB","SELL","6.04","0.6506","3.92962400","0.00196481","BNB"
"2018-07-10 18:20:38","EOSBNB","SELL","0.5735","5.58","3.20013000","0.00160006","BNB"
"2018-07-10 16:57:17","EOSBNB","BUY","0.56","5.59","3.13040000","0.00157418","BNB"
"2018-07-10 16:14:15","EOSBNB","SELL","0.5735","5.58","3.20013000","0.00160006","BNB"
"2018-07-10 14:33:11","EOSBNB","BUY","0.5663","11.46","6.48979800","0.00327227","BNB"
"2018-07-10 11:38:46","ETHBTC","BUY","0.068622","0.173","0.01187160","0.00296673","BNB"
"2018-07-10 11:10:31","ZECETH","SELL","0.3625","0.404","0.14645000","0.00252813","BNB"
"2018-07-10 10:16:48","XLMBNB","BUY","0.015","175.86","2.63790000","0.00131792","BNB"
"2018-07-10 09:46:08","XLMBNB","SELL","0.01531","360.74","5.52292940","0.00276146","BNB"
"2018-07-10 09:28:09","EOSBNB","SELL","0.5858","5.25","3.07545000","0.00153772","BNB"
"2018-07-10 09:27:46","EOSBNB","SELL","0.5858","0.61","0.35733800","0.00017867","BNB"
"2018-07-10 06:59:22","EOSBNB","SELL","0.5731","5.58","3.19789800","0.00159895","BNB"
"2018-07-10 06:10:23","EOSBNB","BUY","0.56","5.59","3.13040000","0.00156688","BNB"
"2018-07-10 04:50:04","BNBBTC","BUY","0.001993","8.8","0.01753840","0.0044","BNB"
"2018-07-10 04:14:05","EOSBNB","SELL","0.5731","5.58","3.19789800","0.00159895","BNB"
"2018-07-10 03:10:32","XLMBNB","BUY","0.01481","168.71","2.49859510","0.00124833","BNB"
"2018-07-10 03:09:22","XLMBNB","BUY","0.01481","9.08","0.13447480","0.00006729","BNB"
"2018-07-10 03:09:22","XLMBNB","BUY","0.01481","9.08","0.13447480","0.00006729","BNB"
"2018-07-10 03:09:12","XLMBNB","BUY","0.01481","0.11","0.00162910","0.00000081","BNB"
